word,translate
0,common,Обычный
1,appearance,Внешность
2,attractive,привлекательный
3,bald,лысый
4,beard,борода
5,broad,широкий
6,build,телосложение
7,charming,очаровательный
8,chubby,круглолицый
9,freckled,веснушчатый
10,full,полный
11,good fit,хорошая фигура
12,handsome,красивый
13,hazel-eyed,кареглазый
14,height,рост
15,moustache,усы
16,narrow,узкий
17,oval,овал
18,pale,бледный
19,pimpled,прыщеватый
20,plump,пухлый
21,pretty,симпатичный
22,round,круглый
23,skinny,худощавый
24,slim,стройный
25,snub,курносый
26,square,квадратный
27,straight,прямой
28,swarthy,смуглый
29,thick,густой
30,thin,тонкий
31,unattractive,непривлекательный
32,wavy,волнистый
33,wrinkled,морщинистый
34,cloud,облако
35,cloudy,облачный
36,cold,прохладный
37,dry,сухой
38,fog,густой туман
39,foggy,туманный
40,frost,мороз
41,frosty,морозный
42,hail,град
43,hoarfrost,иней
44,hot,жаркий
45,ice,лед
46,icy,ледяной
47,mist,туман
48,rain,дождь
49,rainbow,радуга
50,rainy,дождливый
51,snow,снег
52,snowy,снежный
53,sun,солнце
54,sunny,солнечный
55,sunshine,солнечный свет
56,thunder,гром
57,wind,ветер
58,windy,ветреный
